family,method,dataset,task,top1_feature,frac_top1,n_folds
density_mixing,lasso,bc_jackson2020,motif_tumor_high,density::tumor_area_ratio,1.0,15
density_mixing,lasso,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__Vascular SMA+__to__T cells,0.26666666666666666,15
density_mixing,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,0.6,15
density_mixing,lasso,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
density_mixing,lasso,hnc_wu2022,motif_immune_exclusion,density::tumor_area_ratio,1.0,15
density_mixing,lasso,tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_normalized,0.4,15
density_mixing,shap,bc_jackson2020,motif_apc_t_contact,mixing::neighbor_fraction__Macrophage__to__T cell,0.8,15
density_mixing,shap,bc_jackson2020,motif_cd8_tumor_contact,mixing::neighbor_fraction__T cell__to__T cell,0.8,15
density_mixing,shap,bc_jackson2020,motif_macrophage_tumor_niche,mixing::neighbor_fraction__Macrophage__to__Stromal cells,0.8,15
density_mixing,shap,bc_jackson2020,motif_t_tumor_mixing,mixing::neighbor_fraction__T cell__to__T cell,0.8,15
density_mixing,shap,bc_jackson2020,motif_tumor_high,density::tumor_area_ratio,0.9333333333333333,15
density_mixing,shap,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__B cells__to__Hypoxia,0.2,15
density_mixing,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_global,0.4666666666666667,15
density_mixing,shap,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
density_mixing,shap,hnc_wu2022,motif_immune_exclusion,density::tumor_area_ratio,1.0,15
density_mixing,shap,tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_normalized,0.26666666666666666,15
composition_point_pattern,lasso,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.8666666666666667,15
composition_point_pattern,lasso,bc_jackson2020,motif_cd8_tumor_contact,point-pattern::T cell_L_r10,0.4666666666666667,15
composition_point_pattern,lasso,bc_jackson2020,motif_macrophage_tumor_niche,point-pattern::Tumor (CK7+)_L_r100,0.26666666666666666,15
composition_point_pattern,lasso,bc_jackson2020,motif_t_tumor_mixing,point-pattern::T cell_L_r10,0.4666666666666667,15
composition_point_pattern,lasso,bc_jackson2020,motif_tumor_high,composition::Stromal cells,1.0,15
composition_point_pattern,lasso,bc_metabric_ali2020,motif_interface_immune,composition::Myoepithelial,0.8666666666666667,15
composition_point_pattern,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,point-pattern::HR+ CK7-_L_r50,0.5333333333333333,15
