task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_interface_immune,spatial,ig,15,0.5473346270661961,0.1333333333333333,0.42490264228705,0.3832054733600917,1.5693383369865836,0.0666666666666666,0.1571767633558847,0.81508560913228,0.6579088457763953,0.1333333333333333,0.1666666666666666,0.1333333333333333,0.1333333333333333,fail_control_block,fail_control_block,fail_control_block,0.0238076569891159,bc_metabric_ali2020,True,mixing
motif_tumor_high,control,ig,15,0.8717821335748597,0.2666666666666666,0.6061830710982046,0.6329548633020868,1.6997026578494625,0.2666666666666666,0.3003761739821998,0.7566735363408781,0.4562973623586781,0.2666666666666666,0.1666666666666666,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,6.227755110272005e-05,bc_metabric_ali2020,False,mixing
motif_tumor_stroma_mixing,spatial,ig,15,0.626737002180304,0.7333333333333333,0.6984795644550498,0.5400828584393298,1.2284014056781674,0.0,0.2128116668460444,0.8364965856569796,0.6236849188109352,0.7333333333333333,0.1666666666666666,0.1333333333333333,0.1333333333333333,fail_control_block,fail_control_block,fail_control_block,4.768802590786789e-12,bc_metabric_ali2020,True,mixing
motif_apc_t_contact,spatial,ig,15,0.6083670590997095,0.5333333333333333,0.4266683490066477,0.4130191280051402,1.3278909409483903,0.0,0.1700726001963766,0.7984522118516578,0.6283796116552812,0.5333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control_block,fail_control_block,fail_control_block,3.488374498970564e-08,bc_jackson2020,True,mixing_celltype_density
motif_cd8_high,control,ig,15,0.8254457083193966,0.0,,,,0.0,,,,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control,fail_control,fail_control,,bc_jackson2020,False,mixing_celltype_density
motif_cd8_tumor_contact,spatial,ig,15,0.6704409552898877,0.8,0.4906233141238394,0.3940219633101924,1.302045554489844,0.2666666666666666,0.2157100215691537,0.7874197828972153,0.5717097613280615,0.8,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control_block,fail_control_block,fail_control_block,4.648562063305402e-13,bc_jackson2020,True,mixing_celltype_density
motif_macrophage_tumor_niche,spatial,ig,15,0.5432685550313695,0.2,0.4035301755608425,0.3952797765469588,1.722854058081534,0.2,0.1868002064817274,0.8514501763161052,0.6646499698343779,0.2,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control_block,fail_control_block,fail_control_block,0.0025887849490438,bc_jackson2020,True,mixing_celltype_density
motif_t_tumor_mixing,spatial,ig,15,0.6799567164678612,0.9333333333333332,0.4706608486134562,0.3785637166930224,1.2224135948248371,0.0,0.2121298048863406,0.8215606487686312,0.6094308438822906,0.9333333333333332,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control_block,fail_control_block,fail_control_block,3.8844627854230045e-13,bc_jackson2020,True,mixing_celltype_density
motif_tumor_high,control,ig,15,0.826977864668795,0.0666666666666666,0.6827066240619473,0.6663828717913695,2.0179346166468664,0.0666666666666666,0.2357625868215098,0.6915932643664668,0.4558306775449569,0.0666666666666666,0.0333333333333333,0.0333333333333333,0.0333333333333333,fail_control,fail_control,fail_control,,bc_jackson2020,True,mixing_celltype_density
motif_cd8_clustering,spatial,ig,15,0.7204124215685578,0.9333333333333332,0.4197721875820522,0.3007226181029137,3.3932377583722437,0.9333333333333332,0.1614791727591865,0.8057641555301913,0.6442849827710049,0.9333333333333332,0.2,0.2,0.2,fail_control_block,fail_control_block,fail_control_block,2.2175267109206567e-10,hnc_wu2022,True,mixing_celltype_density
motif_cd8_high,control,ig,15,0.8747746950349871,0.2,0.6176239533506104,0.6333922141937097,1.9210759176641592,0.2,0.2114106063796141,0.7144698296176465,0.5030592232380325,0.2,0.2,0.2,0.2,fail_control,fail_control,fail_control,0.0001826795085658,hnc_wu2022,False,mixing_celltype_density
motif_immune_exclusion,spatial,ig,15,0.7912379234236909,1.0,0.3651024065085966,0.4953290628316046,2.524079175443206,1.0,0.1455433544050493,0.8250137287921266,0.6794703743870774,1.0,0.2,0.2,0.2,fail_control_block,fail_control_block,fail_control_block,3.4701523535833594e-13,hnc_wu2022,True,mixing_celltype_density
motif_tumor_high,control,ig,15,0.8839968606167111,0.2,0.7703601723671367,0.7650426518073458,2.4129225050758887,0.2,0.1885550324441099,0.844252141522334,0.6556971090782241,0.2,0.2,0.2,0.2,fail_control,fail_control,fail_control,0.0053466276069825,hnc_wu2022,False,mixing_celltype_density
motif_cd8_high,control,ig,15,0.8677761006898052,0.1333333333333333,0.7506528506099517,0.753695948666449,1.733667729096804,0.1333333333333333,0.2480557969093108,0.7158802775861965,0.4678244806768856,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,0.0303835715459965,tnbc_wang2023,True,mixing_celltype_density
motif_tumor_high,control,ig,15,0.865819453062805,0.1333333333333333,0.6690977642763105,0.6686293760560276,2.0191068734396,0.1333333333333333,0.2774572312029464,0.767856289341879,0.4903990581389326,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,0.0481416011067403,tnbc_wang2023,False,mixing_celltype_density
motif_cd8_high,control,ig,15,0.8152331197787223,0.0,,,,0.0,,,,0.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,,bc_metabric_ali2020,False,mixing_celltype_density
motif_interface_immune,spatial,ig,15,0.5561850324982972,0.2666666666666666,0.4395331086729332,0.3954464523596974,1.5912441237567043,0.2666666666666666,0.181477752383413,0.799581250910457,0.6181034985270439,0.2666666666666666,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control_block,fail_control_block,fail_control_block,0.0016865366483634,bc_metabric_ali2020,True,mixing_celltype_density
motif_tumor_high,control,ig,15,0.8743696122143844,0.2666666666666666,0.6075605910979481,0.6291472011420777,1.7341552908022762,0.2666666666666666,0.3099071875069167,0.7473073432965278,0.437400155789611,0.2666666666666666,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,0.0001457881768319,bc_metabric_ali2020,False,mixing_celltype_density
motif_tumor_stroma_mixing,spatial,ig,15,0.6357149039398533,0.8,0.7036914649659155,0.5379798699903737,1.2500782197524627,0.0,0.2175413136076763,0.8325886970470116,0.6150473834393351,0.8,0.1333333333333333,0.1333333333333333,0.1333333333333333,fail_control_block,fail_control_block,fail_control_block,4.4696974907904e-12,bc_metabric_ali2020,True,mixing_celltype_density
