task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_tumor_high,control,single,15,0.9710136187037276,1.0,0.977075770277002,0.9740399327244944,2.821178348484379,1.0,0.263155388425661,0.7122901731313036,0.4491347847056426,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,7.293237822855515e-15,bc_jackson2020,True,composition
motif_cd8_clustering,spatial,attention,15,0.8950886314152133,1.0,0.6474764708383882,0.4871589954285601,5.144839708618645,1.0,0.1105999389886061,0.4747989302704484,0.3641989912818422,1.0,1.0,0.8666666666666667,0.7333333333333333,pass_spatial,pass_spatial,pass_spatial,1.8001061205794976e-14,hnc_wu2022,True,composition
motif_cd8_high,control,attention,15,0.9651458357790108,1.0,0.5674835812975718,0.5331470319319714,1.7362319876874053,1.0,0.3490145699203595,0.5371376718745249,0.1881231019541652,0.8666666666666667,1.0,0.8666666666666667,0.7333333333333333,pass_control,pass_control,pass_control,2.4056994664258325e-10,hnc_wu2022,False,composition
motif_immune_exclusion,spatial,attention,15,0.8824999635348029,1.0,0.3449279750000757,0.4364079215224945,2.170710882529057,0.9333333333333332,0.1735457199737169,0.5008736091762007,0.3273278892024838,1.0,1.0,0.8666666666666667,0.7333333333333333,pass_spatial,pass_spatial,pass_spatial,7.205670633427932e-11,hnc_wu2022,True,composition
motif_tumor_high,control,attention,15,0.9521945638059232,1.0,0.496338811386532,0.4590292086285992,1.3195200373444118,0.7333333333333333,0.4065949205002022,0.4781545338640338,0.0715596133638314,0.6666666666666666,1.0,0.8666666666666667,0.7333333333333333,pass_control,pass_control,pass_control,9.805116986400662e-05,hnc_wu2022,False,composition
motif_cd8_clustering,spatial,ig,15,0.8950886314152133,1.0,0.595634617002331,0.406826165741994,4.758504645762516,1.0,0.1691062505768899,0.5849962878899594,0.4158900373130693,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.5702588510969234e-14,hnc_wu2022,True,composition
motif_cd8_high,control,ig,15,0.9651458357790108,1.0,0.8368728006562142,0.7917906255698071,2.745436660658295,1.0,0.1966261885364826,0.7484332855223333,0.5518070969858508,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,2.311308736016676e-15,hnc_wu2022,False,composition
motif_immune_exclusion,spatial,ig,15,0.8824999635348029,1.0,0.3995489223504851,0.4835765334556203,2.6588296303116974,1.0,0.1301232233687045,0.6959168492122331,0.5657936258435285,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.004759635918481e-12,hnc_wu2022,True,composition
motif_tumor_high,control,ig,15,0.9521945638059232,1.0,0.9484106434995216,0.9125631657316068,2.93531266411368,1.0,0.1553228454039137,0.7989697070739203,0.6436468616700066,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,3.8622584813234736e-15,hnc_wu2022,False,composition
motif_cd8_clustering,spatial,one_removed,15,0.8950886314152133,1.0,0.5077304190241148,0.3535156678741009,4.301567410956706,1.0,0.2921636052262401,0.6087695015411615,0.3166058963149212,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.8097708294289396e-12,hnc_wu2022,True,composition
