task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected,family,lasso_ok,shap_ok
motif_cd8_high,control,15,0.9674715306460012,0.9551591934079507,0.0,0.0,1.0,0.0,0.0721645015587685,0.0026577638609519,0.5,0.5,0.5,fail_control,fail_control,fail_control,bc_jackson2020,False,density_mixing,False,False
motif_t_tumor_mixing,spatial,15,0.8616561101060985,0.8647010077192543,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0750293506315254,0.0050622092025475,0.5,0.5,0.5,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_mixing,True,True
motif_cd8_tumor_contact,spatial,15,0.86277095060924,0.8679437168379741,1.0,1.0,1.0,1.0,0.0721154189241403,0.0005680642765327,0.5,0.5,0.5,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_mixing,True,True
motif_macrophage_tumor_niche,spatial,15,0.8059525739871028,0.808455534836687,1.0,1.0,1.0,1.0,0.0999432821307586,0.0034957769917326,0.5,0.5,0.5,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_mixing,True,True
motif_apc_t_contact,spatial,15,0.7146314468067728,0.7157721700028384,1.0,1.0,1.0,1.0,0.1008878656824832,0.0016596194917355,0.5,0.5,0.5,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_mixing,True,True
motif_tumor_high,control,15,0.9742824405538708,0.9752312209948762,1.0,1.0,0.8666666666666667,0.8666666666666667,0.0309421844537652,0.0033212177226772,0.6666666666666666,0.7333333333333333,0.5666666666666667,pass_control,pass_control,pass_control,hnc_wu2022,False,density_mixing,True,True
motif_cd8_high,control,15,0.9801119758059664,0.9810297423096516,0.3333333333333333,0.4666666666666667,1.0,0.2666666666666666,0.0458772761700742,0.0011120006677211,0.6666666666666666,0.7333333333333333,0.5666666666666667,fail_control,fail_control,fail_control,hnc_wu2022,False,density_mixing,False,False
motif_cd8_clustering,spatial,15,0.960297478206988,0.9584935217610372,1.0,1.0,1.0,1.0,0.2322396524083724,0.0097365660399192,0.6666666666666666,0.7333333333333333,0.5666666666666667,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,density_mixing,True,True
motif_immune_exclusion,spatial,15,0.9758398957766056,0.977862532173709,0.0,0.0,1.0,0.0,0.0950637587415565,0.0041725191595802,0.6666666666666666,0.7333333333333333,0.5666666666666667,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,density_mixing,False,False
motif_tumor_high,control,15,0.9640311573937044,0.9658025066314384,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0031261057462052,-0.0005959518911569,0.5,0.5,0.3333333333333333,pass_control,pass_control,pass_control,tnbc_wang2023,False,density_mixing,True,True
motif_cd8_high,control,15,0.9757457281121866,0.9736361536164246,0.0,0.0,0.9333333333333332,0.0,0.0031615257696726,0.0001877536955666,0.5,0.5,0.3333333333333333,fail_control,fail_control,fail_control,tnbc_wang2023,True,density_mixing,False,False
motif_tumor_high,control,15,0.976199664292137,0.9777293279168036,1.0,1.0,0.8666666666666667,0.8666666666666667,0.0125213566752771,0.0008278602150329,0.5,0.5,0.4333333333333333,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,density_mixing,True,True
motif_cd8_high,control,15,0.9433042085510988,0.9334452724597132,0.0,0.0,1.0,0.0,0.0401674910107256,0.0014499257562613,0.5,0.5,0.4333333333333333,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,density_mixing,False,False
motif_tumor_stroma_mixing,spatial,15,0.8296913869117676,0.8328702358671249,1.0,1.0,1.0,1.0,0.0782468074270534,0.00308788893156,0.5,0.5,0.4333333333333333,pass_spatial,pass_spatial,fail_control_block,bc_metabric_ali2020,True,density_mixing,True,True
motif_interface_immune,spatial,15,0.5091565742174511,0.5131627433812559,0.0,0.0,0.3333333333333333,0.0,-0.0066172741487464,0.0025319924893907,0.5,0.5,0.4333333333333333,abundance_only_or_fail,abundance_only_or_fail,fail_control_block,bc_metabric_ali2020,True,density_mixing,False,False
motif_tumor_high,control,15,0.9890531926177588,0.9889970645821846,1.0,1.0,1.0,1.0,0.3185751656400635,0.0100563477678731,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True,composition_point_pattern,True,True
motif_cd8_high,control,15,0.9692973849827724,0.9638273091672074,1.0,1.0,1.0,1.0,0.4349096038094727,0.004857890413733,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False,composition_point_pattern,True,True
motif_t_tumor_mixing,spatial,15,0.746146012866917,0.7517865391021725,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8,0.0780294279959908,0.0005997507283103,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,composition_point_pattern,True,True
motif_cd8_tumor_contact,spatial,15,0.7304132373944902,0.7372612430607582,0.8,0.8666666666666667,0.8666666666666667,0.6,0.0770971608602251,0.0221086292891445,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,composition_point_pattern,True,True
motif_macrophage_tumor_niche,spatial,15,0.5678965402630517,0.5683544715099111,0.9333333333333332,1.0,0.6666666666666666,0.6666666666666666,0.0436307619133341,0.0056342296891711,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,composition_point_pattern,True,True
motif_apc_t_contact,spatial,15,0.6126215651130551,0.6101267394071765,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.1048462360970808,0.0108196113493239,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,composition_point_pattern,True,True
motif_tumor_high,control,15,0.9753834177338448,0.975880948478142,1.0,1.0,1.0,1.0,0.1733707676851583,0.0070428513171931,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,composition_point_pattern,True,True
motif_cd8_high,control,15,0.9877218577664256,0.9858128048074288,1.0,1.0,1.0,1.0,0.3177464288391968,0.0086285217304364,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,composition_point_pattern,True,True
motif_cd8_clustering,spatial,15,0.9065541757026876,0.906116345217428,1.0,1.0,1.0,1.0,0.3220121096377089,0.018282339108449,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,composition_point_pattern,True,True
motif_immune_exclusion,spatial,15,0.8909526025595527,0.8901255335479407,0.0,0.0,1.0,0.0,0.1757643930262626,0.0155428653996529,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,composition_point_pattern,False,False
motif_tumor_high,control,15,0.9741565688290952,0.9745946182822371,0.0,0.0,1.0,0.0,0.1032099772169652,0.0021860249410038,0.5,0.5,0.5,fail_control,fail_control,fail_control,tnbc_wang2023,False,composition_point_pattern,False,False
motif_cd8_high,control,15,0.9676007983294452,0.966590522271932,1.0,1.0,1.0,1.0,0.1343745455622436,0.0045695539583025,0.5,0.5,0.5,pass_control,pass_control,pass_control,tnbc_wang2023,True,composition_point_pattern,True,True
motif_tumor_high,control,15,0.9784816896785504,0.9790742556417724,0.0,0.0,1.0,0.0,0.1952068288948274,0.0002520531633288,0.5,0.5,0.5,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,composition_point_pattern,False,False
motif_cd8_high,control,15,0.9388288005900376,0.9415784858135549,1.0,1.0,1.0,1.0,0.2038107747111799,0.0049968392865362,0.5,0.5,0.5,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,composition_point_pattern,True,True
motif_tumor_stroma_mixing,spatial,15,0.7574197137030866,0.7571412615352778,0.0,0.0,0.9333333333333332,0.0,0.0897106779698133,0.0259948076371044,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,composition_point_pattern,False,False
motif_interface_immune,spatial,15,0.6293924106936332,0.6270069565436287,0.0,0.0666666666666666,0.7333333333333333,0.0,0.0655414721607934,0.012982686876441,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,composition_point_pattern,False,False
motif_tumor_high,control,15,0.9837189580346876,0.9839210733261284,1.0,1.0,1.0,1.0,0.1989771773357339,0.005450197727317,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True,density_point_pattern,True,True
motif_cd8_high,control,15,0.9354339116949364,0.9326519960963964,1.0,1.0,1.0,1.0,0.3689205706631288,0.0118607913340196,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False,density_point_pattern,True,True
motif_t_tumor_mixing,spatial,15,0.7959385865454573,0.7990592350602576,0.8666666666666667,0.8666666666666667,0.9333333333333332,0.8666666666666667,0.0959389044432606,0.0189468129292631,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_point_pattern,True,True
motif_cd8_tumor_contact,spatial,15,0.7983394278414213,0.7989379537965833,1.0,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.0986780583691196,0.0195719505542407,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_point_pattern,True,True
motif_macrophage_tumor_niche,spatial,15,0.6356535071109131,0.6335350190516285,1.0,0.9333333333333332,0.8,0.7333333333333333,0.0853846562420463,0.0162325985529754,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_point_pattern,True,True
motif_apc_t_contact,spatial,15,0.6346792667326824,0.6320186482016791,1.0,1.0,0.9333333333333332,0.9333333333333332,0.1053975425441338,0.0121837811291139,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density_point_pattern,True,True
motif_tumor_high,control,15,0.970004778764752,0.9688676960491568,1.0,1.0,1.0,1.0,0.1403877702687133,0.0110335592485143,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,density_point_pattern,True,True
motif_cd8_high,control,15,0.9864323675090032,0.9844874101583256,1.0,1.0,1.0,1.0,0.3417276975273752,0.0085503891053021,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,density_point_pattern,True,True
motif_cd8_clustering,spatial,15,0.9209053630976192,0.9117364651720912,1.0,1.0,1.0,1.0,0.3411444921490847,0.0307818752730017,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,density_point_pattern,True,True
motif_immune_exclusion,spatial,15,0.928248274769484,0.9254680922275408,1.0,1.0,1.0,1.0,0.2002345028532829,0.0072031227986391,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,density_point_pattern,True,True
motif_tumor_high,control,15,0.9668046635207024,0.967180988430915,1.0,1.0,1.0,1.0,0.0947193384235941,0.0013457633789771,1.0,1.0,1.0,pass_control,pass_control,pass_control,tnbc_wang2023,False,density_point_pattern,True,True
motif_cd8_high,control,15,0.958996851021688,0.9576055479714838,1.0,1.0,1.0,1.0,0.0640038910451681,0.0018802970416975,1.0,1.0,1.0,pass_control,pass_control,pass_control,tnbc_wang2023,True,density_point_pattern,True,True
motif_tumor_high,control,15,0.978214228131325,0.9794138726721058,1.0,1.0,1.0,1.0,0.1296643905303408,0.001402211270636,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,density_point_pattern,True,True
motif_cd8_high,control,15,0.9236875304454572,0.9267376236105068,1.0,1.0,1.0,1.0,0.1454040933564782,0.0034731605195814,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,density_point_pattern,True,True
motif_tumor_stroma_mixing,spatial,15,0.7606241781876762,0.7620157880972745,0.0,0.0,0.9333333333333332,0.0,0.0893010942028393,0.0014638958372914,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,density_point_pattern,False,False
motif_interface_immune,spatial,15,0.6312766644857504,0.6302590393235957,0.1333333333333333,0.2,0.8666666666666667,0.0,0.0615642876239178,0.0129982553660106,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,density_point_pattern,False,False
motif_tumor_high,control,15,0.95619122145964,0.957621344952155,0.0,0.0,1.0,0.0,0.0265453350471059,0.0002433843415198,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,True,mixing_point_pattern,False,False
motif_cd8_high,control,15,0.9606187737733296,0.9494986055864711,0.0,0.0,1.0,0.0,0.0721854995359745,0.0009425838593448,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,False,mixing_point_pattern,False,False
motif_t_tumor_mixing,spatial,15,0.8638557392117259,0.8684703753775338,1.0,1.0,1.0,1.0,0.054054984986121,0.0006507222523092,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing_point_pattern,True,True
motif_cd8_tumor_contact,spatial,15,0.8640742090154157,0.8693932774201723,1.0,1.0,0.8666666666666667,0.8666666666666667,0.0473324812324493,0.0066644764794288,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing_point_pattern,True,True
motif_macrophage_tumor_niche,spatial,15,0.7813246787353999,0.7787965189244207,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0970089330152078,0.0042523626538326,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing_point_pattern,True,True
motif_apc_t_contact,spatial,15,0.6440463601774284,0.6478609132813157,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0682489786446909,0.002204645983489,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing_point_pattern,True,True
motif_tumor_high,control,15,0.961780719264428,0.9642406841226328,0.0,0.0,0.8666666666666667,0.0,0.0190440776668771,0.0011374019197252,0.0,0.0,0.0,fail_control,fail_control,fail_control,hnc_wu2022,False,mixing_point_pattern,False,False
motif_cd8_high,control,15,0.987822117183244,0.988672162585848,0.0,0.0,1.0,0.0,0.0360416050705948,0.0007285220573825,0.0,0.0,0.0,fail_control,fail_control,fail_control,hnc_wu2022,False,mixing_point_pattern,False,False
motif_cd8_clustering,spatial,15,0.9394224370848548,0.9366122990251636,1.0,1.0,1.0,1.0,0.179119355018607,0.0010020521323035,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,hnc_wu2022,True,mixing_point_pattern,True,True
motif_immune_exclusion,spatial,15,0.9643208296337656,0.9621727641994336,0.0,0.0,0.6666666666666666,0.0,0.0210690517818471,0.0030476912037996,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,hnc_wu2022,True,mixing_point_pattern,False,False
motif_tumor_high,control,15,0.9539840075771192,0.955523772816812,0.0,0.0,0.6666666666666666,0.0,0.0011817088635786,0.0001123482440661,0.0,0.0,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,False,mixing_point_pattern,False,False
motif_cd8_high,control,15,0.9757692536344156,0.974232343836934,0.0,0.0,0.8666666666666667,0.0,0.0023885178096772,-0.0002165500864205,0.0,0.0,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,True,mixing_point_pattern,False,False
motif_tumor_high,control,15,0.9726175574860364,0.974185848413497,0.0,0.0,0.9333333333333332,0.0,0.0102476424749923,-0.0001510764967744,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,mixing_point_pattern,False,False
motif_cd8_high,control,15,0.958703995763883,0.95299376051748,0.0,0.0,1.0,0.0,0.0265953292468758,0.000814113942749,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,mixing_point_pattern,False,False
motif_tumor_stroma_mixing,spatial,15,0.8601339770314911,0.8635831469431203,1.0,1.0,1.0,1.0,0.0508931864270948,0.0001025719397484,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,mixing_point_pattern,True,True
motif_interface_immune,spatial,15,0.5855827108464705,0.5860813099710197,0.0,0.0,0.3333333333333333,0.0,0.0061586939710153,-7.398074590801255e-05,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,mixing_point_pattern,False,False
