family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
mixing,hnc_wu2022,motif_immune_exclusion,spatial,0.9286916115709308,0.9235330265745068,0.0,0.0,0.9333333333333332,0.9785176911026952,0.9795306247910294,0.0,0.0
mixing,tnbc_wang2023,motif_cd8_high,control,0.972291335862925,0.9742280622486542,0.0,0.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,0.5915127477831887,0.5952000067098514,1.0,0.9333333333333332,0.8,0.6839872439309251,0.6806886142837433,1.0,1.0
point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.6918674212458878,0.6818752823658759,0.8,0.8,0.6666666666666666,0.8810976088249568,0.8757017183602076,1.0,1.0
point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.5656851913764738,0.5697535728763177,1.0,1.0,0.4666666666666667,0.7899695820827977,0.7913776079784736,1.0,1.0
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,0.7167636354145116,0.7090429990635506,1.0,1.0,0.8666666666666667,0.8832423194389634,0.8804172395580807,1.0,1.0
point_pattern,bc_jackson2020,motif_tumor_high,control,0.8366879404245783,0.830675802465301,0.0,0.0,0.9333333333333332,0.9729267388048382,0.9721066973045724,1.0,1.0
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,0.622864693354537,0.6255565361139162,0.3333333333333333,0.2,0.7333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.7468508383982989,0.7378933961126233,0.0,0.0,0.8666666666666667,0.873742112677661,0.8721206303099582,1.0,1.0
point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,0.9144529815542292,0.9179127270634848,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,0.8579712021399092,0.8510703953141506,0.5333333333333333,0.7333333333333333,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
point_pattern,tnbc_wang2023,motif_cd8_high,control,0.92372982319299,0.9212896960647132,0.0,0.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
