method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict,loc_verdict,faith_verdict,combo,explainer
mil_composition_random,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_control_block,False,0.8950886314152133,1.0,0.0,0.0,0.9701513572630128,0.0017211005247121,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,0.8824999635348029,1.0,0.0,0.0,0.9866286098333364,-0.0081558619593137,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,0.964788278879704,1.0,0.0,0.0,1.0119126068153197,0.0009213440915612,fail_control,fail_control,fail_control,composition,random
mil_composition_single,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6019790325846818,0.5333333333333333,0.0,0.5333333333333333,0.6865606115035702,0.3248363798645146,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,single
mil_composition_single,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.8130867774847903,1.0,0.0,1.0,0.6829309195006853,0.377336365746563,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,single
mil_composition_single,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.6987163123917506,1.0,0.0,1.0,0.7893361382858247,0.3958120254616443,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,single
mil_composition_single,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.8012024834949976,1.0,0.0,1.0,0.7231698350611769,0.3732139295494547,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,single
mil_composition_single,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9710136187037276,1.0,1.0,1.0,2.821178348484379,0.4491347847056426,pass_control,pass_control,pass_control,composition,single
mil_composition_single,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5730730164126139,0.3333333333333333,0.0666666666666666,0.3333333333333333,1.131234962577851,0.4259609177887079,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,single
mil_composition_single,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7660506554651324,1.0,0.0,1.0,0.647069106725138,0.3870634471185957,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,single
mil_composition_single,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8950886314152133,1.0,1.0,1.0,4.965156274099676,0.4865789531347042,pass_spatial,pass_spatial,pass_spatial,composition,single
mil_composition_single,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.8824999635348029,1.0,1.0,1.0,2.786336097520008,0.5667879143397146,pass_spatial,pass_spatial,pass_spatial,composition,single
mil_composition_single,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.964788278879704,1.0,1.0,1.0,2.209121154929365,0.3868644704204774,pass_control,pass_control,pass_control,composition,single
mil_mixing_attention,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6535642703576606,0.7333333333333333,0.0,0.6666666666666666,0.8353055416827427,0.2488720471203996,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,attention
mil_mixing_attention,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.6545126294335097,0.9333333333333332,0.0,0.8,1.144083956856884,-0.0430896369301466,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,attention
mil_mixing_attention,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.5882662661405493,0.4,0.2666666666666666,0.0,1.553001346908759,-0.0973885901385921,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,attention
mil_mixing_attention,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.6629355405761213,0.8,0.0,0.3333333333333333,1.0922820389222714,-0.0373365476263705,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,attention
