family,dataset,task,kind,method,n_hit_candidates,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,miss_as_top1,n_folds
point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,150,0.8,0.8444444444444444,0.84,0.9,0.8,0.8444444444444444,0.84,0.0,15
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,150,0.6,0.7777777777777778,0.7466666666666666,0.8,0.6,0.7777777777777778,0.7466666666666666,0.0,15
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,150,0.8666666666666667,0.7777777777777778,0.7733333333333334,0.9333333333333333,0.8666666666666667,0.7777777777777778,0.7733333333333334,0.0,15
point_pattern,bc_jackson2020,motif_tumor_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_jackson2020,motif_tumor_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,20,0.06666666666666667,0.04444444444444444,0.08000000000000002,0.17539516039516037,0.06666666666666667,0.04444444444444444,0.08000000000000002,0.0,15
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,shap,20,0.06666666666666667,0.04444444444444444,0.04000000000000001,0.13904835904835902,0.06666666666666667,0.04444444444444444,0.04000000000000001,0.0,15
point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,lasso,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,shap,10,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,lasso,10,0.2,0.15555555555555553,0.14666666666666667,0.3545726495726496,0.2,0.15555555555555553,0.14666666666666667,0.0,15
point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,shap,10,0.4,0.2222222222222222,0.25333333333333335,0.5175661375661376,0.4,0.2222222222222222,0.25333333333333335,0.0,15
point_pattern,tnbc_wang2023,motif_cd8_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,tnbc_wang2023,motif_cd8_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_density,bc_jackson2020,motif_apc_t_contact,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_density,bc_jackson2020,motif_apc_t_contact,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,15
composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.0,15
composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,0.6666666666666666,0.3333333333333333,0.2,0.8333333333333334,0.6666666666666666,1.0,1.0,0.13333333333333333,15
composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,15
composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,15
composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_density,bc_jackson2020,motif_tumor_high,control,lasso,29,0.0,0.3555555555555555,0.5066666666666666,0.5,0.0,0.3555555555555555,0.5066666666666666,0.0,15
composition_density,bc_jackson2020,motif_tumor_high,control,shap,29,0.0,0.4,0.41333333333333333,0.4888888888888889,0.0,0.4,0.41333333333333333,0.0,15
composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,4,0.0,0.02222222222222222,0.05333333333333334,0.14063732563732562,0.0,0.02222222222222222,0.06666666666666667,0.0,15
composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,shap,4,0.0,0.02222222222222222,0.04000000000000001,0.09199731354530116,0.0,0.02222222222222222,0.05,0.0,15
composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
