family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
density_mixing,bc_jackson2020,motif_tumor_high,control,0.9672404818474496,0.9657877435362908,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,0.5131627433812559,0.5091565742174511,0.0,0.0,0.3333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8328702358671249,0.8296913869117676,1.0,1.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,0.9584935217610372,0.960297478206988,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,0.977862532173709,0.9758398957766056,0.0,0.0,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
density_mixing,tnbc_wang2023,motif_cd8_high,control,0.9736361536164246,0.9757457281121866,0.0,0.0,0.9333333333333332,0.9752298485299818,0.9772897004106226,0.0,0.2
composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,0.6101267394071765,0.6126215651130551,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.6839872439309251,0.6806886142837433,1.0,1.0
composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.7372612430607582,0.7304132373944902,0.8,0.8666666666666667,0.8666666666666667,0.8810976088249568,0.8757017183602076,1.0,1.0
composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.5683544715099111,0.5678965402630517,0.9333333333333332,1.0,0.6666666666666666,0.7899695820827977,0.7913776079784736,1.0,1.0
composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,0.7517865391021725,0.746146012866917,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
composition_point_pattern,bc_jackson2020,motif_tumor_high,control,0.9889970645821846,0.9890531926177588,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,0.6270069565436287,0.6293924106936332,0.0,0.0666666666666666,0.7333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.7571412615352778,0.7574197137030866,0.0,0.0,0.9333333333333332,0.873742112677661,0.8721206303099582,1.0,1.0
composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,0.906116345217428,0.9065541757026876,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,0.8901255335479407,0.8909526025595527,0.0,0.0,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
