dataset,task,seed,fold,method,kind,hit_in_top5,n_hit_in_top,best_hit_rank,top1,miss_as_top1,recovered,passed,auc_lasso,auc_ridge,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed
hnc_wu2022,motif_cd8_high,1,4,shap,control,utag_mean__CD8;utag_mean__CD3e,2,1.0,utag_mean__CD8,False,True,True,0.9174174174174174,0.9204204204204204,0.2297297297297297,0.0382882882882883,True
hnc_wu2022,motif_cd8_high,2,0,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9771959459459458,0.9847972972972971,0.4577702702702703,0.0076013513513514,True
hnc_wu2022,motif_cd8_high,2,0,shap,control,utag_mean__CD8;utag_mean__CD3e,2,1.0,utag_mean__CD8,False,True,True,0.9771959459459458,0.9847972972972971,0.4577702702702703,0.0076013513513514,True
hnc_wu2022,motif_cd8_high,2,1,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9000000000000001,0.9046875,0.3786458333333334,-0.0015624999999999,True
hnc_wu2022,motif_cd8_high,2,1,shap,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9000000000000001,0.9046875,0.3786458333333334,-0.0015624999999999,True
hnc_wu2022,motif_cd8_high,2,2,lasso,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9657407407407408,0.9657407407407408,0.4462962962962964,0.037037037037037,True
hnc_wu2022,motif_cd8_high,2,2,shap,control,utag_mean__CD8;utag_mean__CD3e,2,1.0,utag_mean__CD8,False,True,True,0.9657407407407408,0.9657407407407408,0.4462962962962964,0.037037037037037,True
hnc_wu2022,motif_cd8_high,2,3,lasso,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9296515450361602,0.9362261669953976,0.3589743589743589,0.0571992110453648,True
hnc_wu2022,motif_cd8_high,2,3,shap,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9296515450361602,0.9362261669953976,0.3589743589743589,0.0571992110453648,True
hnc_wu2022,motif_cd8_high,2,4,lasso,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9185823754789272,0.907088122605364,0.2413793103448276,0.0325670498084291,True
hnc_wu2022,motif_cd8_high,2,4,shap,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9185823754789272,0.907088122605364,0.2413793103448276,0.0325670498084291,True
hnc_wu2022,motif_immune_exclusion,0,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7701149425287357,0.7110016420361248,0.3399014778325123,0.0131362889983579,True
hnc_wu2022,motif_immune_exclusion,0,0,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7701149425287357,0.7110016420361248,0.3399014778325123,0.0131362889983579,True
hnc_wu2022,motif_immune_exclusion,0,1,lasso,spatial,,0,,utag_std__CD8,False,False,False,0.78125,0.7916666666666666,0.2395833333333332,0.0854166666666665,True
hnc_wu2022,motif_immune_exclusion,0,1,shap,spatial,,0,,utag_std__CD8,False,False,False,0.78125,0.7916666666666666,0.2395833333333332,0.0854166666666665,True
hnc_wu2022,motif_immune_exclusion,0,2,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7407407407407408,0.675925925925926,0.1365740740740741,0.0185185185185186,True
hnc_wu2022,motif_immune_exclusion,0,2,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7407407407407408,0.675925925925926,0.1365740740740741,0.0185185185185186,True
hnc_wu2022,motif_immune_exclusion,0,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.778393351800554,0.7396121883656509,0.2548476454293628,0.0083102493074791,True
hnc_wu2022,motif_immune_exclusion,0,3,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.778393351800554,0.7396121883656509,0.2548476454293628,0.0083102493074791,True
hnc_wu2022,motif_immune_exclusion,0,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.9190476190476192,0.880952380952381,0.2214285714285716,-0.0095238095238093,True
hnc_wu2022,motif_immune_exclusion,0,4,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.9190476190476192,0.880952380952381,0.2214285714285716,-0.0095238095238093,True
hnc_wu2022,motif_immune_exclusion,1,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8376623376623377,0.8030303030303031,0.3160173160173161,0.0043290043290044,True
hnc_wu2022,motif_immune_exclusion,1,0,shap,spatial,,0,,utag_std__CD163,False,False,False,0.8376623376623377,0.8030303030303031,0.3160173160173161,0.0043290043290044,True
hnc_wu2022,motif_immune_exclusion,1,1,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8695652173913043,0.8067632850241546,0.4009661835748792,0.0611916264090177,True
