method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,selected,shap_ok,family,explainer,lasso_ok
lasso_density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,False,fail_control_block,False,15,0.7146314468067728,0.7157721700028384,1.0,1.0,1.0,1.0,0.1008878656824832,0.0016596194917355,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,False,fail_control_block,False,15,0.86277095060924,0.8679437168379741,1.0,1.0,1.0,1.0,0.0721154189241403,0.0005680642765327,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,False,fail_control_block,False,15,0.8059525739871028,0.808455534836687,1.0,1.0,1.0,1.0,0.0999432821307586,0.0034957769917326,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,True,False,fail_control_block,False,15,0.8616561101060985,0.8647010077192543,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0750293506315254,0.0050622092025475,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,False,15,0.9657877435362908,0.9672404818474496,1.0,1.0,1.0,1.0,0.0344884711927673,0.0010403449408716,0.5,0.5,0.5,pass_control,pass_control,True,True,density_mixing,lasso,
lasso_density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5091565742174511,0.5131627433812559,0.0,0.0,0.3333333333333333,0.0,-0.0066172741487464,0.0025319924893907,0.5,0.5,0.4333333333333333,abundance_only_or_fail,abundance_only_or_fail,True,False,density_mixing,lasso,
lasso_density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8296913869117676,0.8328702358671249,1.0,1.0,1.0,1.0,0.0782468074270534,0.00308788893156,0.5,0.5,0.4333333333333333,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,True,False,fail_control_block,False,15,0.960297478206988,0.9584935217610372,1.0,1.0,1.0,1.0,0.2322396524083724,0.0097365660399192,0.6666666666666666,0.7333333333333333,0.5666666666666667,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,15,0.9758398957766056,0.977862532173709,0.0,0.0,1.0,0.0,0.0950637587415565,0.0041725191595802,0.6666666666666666,0.7333333333333333,0.5666666666666667,abundance_only_or_fail,abundance_only_or_fail,True,False,density_mixing,lasso,
lasso_density_mixing,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9757457281121866,0.9736361536164246,0.0,0.0,0.9333333333333332,0.0,0.0031615257696726,0.0001877536955666,0.5,0.5,0.3333333333333333,fail_control,fail_control,True,False,density_mixing,lasso,
shap_density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,False,fail_control_block,False,15,0.7146314468067728,0.7157721700028384,1.0,1.0,1.0,1.0,0.1008878656824832,0.0016596194917355,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,False,fail_control_block,False,15,0.86277095060924,0.8679437168379741,1.0,1.0,1.0,1.0,0.0721154189241403,0.0005680642765327,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,False,fail_control_block,False,15,0.8059525739871028,0.808455534836687,1.0,1.0,1.0,1.0,0.0999432821307586,0.0034957769917326,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,True,False,fail_control_block,False,15,0.8616561101060985,0.8647010077192543,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0750293506315254,0.0050622092025475,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,False,15,0.9657877435362908,0.9672404818474496,1.0,1.0,1.0,1.0,0.0344884711927673,0.0010403449408716,0.5,0.5,0.5,pass_control,pass_control,True,,density_mixing,shap,True
shap_density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5091565742174511,0.5131627433812559,0.0,0.0,0.3333333333333333,0.0,-0.0066172741487464,0.0025319924893907,0.5,0.5,0.4333333333333333,abundance_only_or_fail,abundance_only_or_fail,True,,density_mixing,shap,False
shap_density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8296913869117676,0.8328702358671249,1.0,1.0,1.0,1.0,0.0782468074270534,0.00308788893156,0.5,0.5,0.4333333333333333,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,True,False,fail_control_block,False,15,0.960297478206988,0.9584935217610372,1.0,1.0,1.0,1.0,0.2322396524083724,0.0097365660399192,0.6666666666666666,0.7333333333333333,0.5666666666666667,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,15,0.9758398957766056,0.977862532173709,0.0,0.0,1.0,0.0,0.0950637587415565,0.0041725191595802,0.6666666666666666,0.7333333333333333,0.5666666666666667,abundance_only_or_fail,abundance_only_or_fail,True,,density_mixing,shap,False
shap_density_mixing,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9757457281121866,0.9736361536164246,0.0,0.0,0.9333333333333332,0.0,0.0031615257696726,0.0001877536955666,0.5,0.5,0.3333333333333333,fail_control,fail_control,True,,density_mixing,shap,False
lasso_composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,True,True,pass_spatial,True,15,0.6126215651130551,0.6101267394071765,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.1048462360970808,0.0108196113493239,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.7304132373944902,0.7372612430607582,0.8,0.8666666666666667,0.8666666666666667,0.6,0.0770971608602251,0.0221086292891445,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,15,0.5678965402630517,0.5683544715099111,0.9333333333333332,1.0,0.6666666666666666,0.6666666666666666,0.0436307619133341,0.0056342296891711,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,True,True,pass_spatial,True,15,0.746146012866917,0.7517865391021725,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8,0.0780294279959908,0.0005997507283103,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.9890531926177588,0.9889970645821846,1.0,1.0,1.0,1.0,0.3185751656400635,0.0100563477678731,1.0,1.0,1.0,pass_control,pass_control,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.6293924106936332,0.6270069565436287,0.0,0.0666666666666666,0.7333333333333333,0.0,0.0655414721607934,0.012982686876441,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_point_pattern,lasso,
lasso_composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,15,0.7574197137030866,0.7571412615352778,0.0,0.0,0.9333333333333332,0.0,0.0897106779698133,0.0259948076371044,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_point_pattern,lasso,
lasso_composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,15,0.9065541757026876,0.906116345217428,1.0,1.0,1.0,1.0,0.3220121096377089,0.018282339108449,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_point_pattern,lasso,
lasso_composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_spatial,True,15,0.8909526025595527,0.8901255335479407,0.0,0.0,1.0,0.0,0.1757643930262626,0.0155428653996529,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_point_pattern,lasso,
lasso_composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,False,15,0.9676007983294452,0.966590522271932,1.0,1.0,1.0,1.0,0.1343745455622436,0.0045695539583025,0.5,0.5,0.5,pass_control,pass_control,True,True,composition_point_pattern,lasso,
shap_composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,True,True,pass_spatial,True,15,0.6126215651130551,0.6101267394071765,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.1048462360970808,0.0108196113493239,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.7304132373944902,0.7372612430607582,0.8,0.8666666666666667,0.8666666666666667,0.6,0.0770971608602251,0.0221086292891445,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,15,0.5678965402630517,0.5683544715099111,0.9333333333333332,1.0,0.6666666666666666,0.6666666666666666,0.0436307619133341,0.0056342296891711,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,True,True,pass_spatial,True,15,0.746146012866917,0.7517865391021725,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8,0.0780294279959908,0.0005997507283103,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.9890531926177588,0.9889970645821846,1.0,1.0,1.0,1.0,0.3185751656400635,0.0100563477678731,1.0,1.0,1.0,pass_control,pass_control,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.6293924106936332,0.6270069565436287,0.0,0.0666666666666666,0.7333333333333333,0.0,0.0655414721607934,0.012982686876441,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,True,,composition_point_pattern,shap,False
shap_composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,15,0.7574197137030866,0.7571412615352778,0.0,0.0,0.9333333333333332,0.0,0.0897106779698133,0.0259948076371044,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,True,,composition_point_pattern,shap,False
shap_composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,15,0.9065541757026876,0.906116345217428,1.0,1.0,1.0,1.0,0.3220121096377089,0.018282339108449,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_point_pattern,shap,True
shap_composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_spatial,True,15,0.8909526025595527,0.8901255335479407,0.0,0.0,1.0,0.0,0.1757643930262626,0.0155428653996529,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_point_pattern,shap,False
shap_composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,False,15,0.9676007983294452,0.966590522271932,1.0,1.0,1.0,1.0,0.1343745455622436,0.0045695539583025,0.5,0.5,0.5,pass_control,pass_control,True,,composition_point_pattern,shap,True
