family,method,kind,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,n_tasks
density_mixing,lasso,spatial,0.75,0.6805555555555556,0.6583333333333333,0.75,0.75,0.6805555555555556,0.6583333333333333,8
density_mixing,shap,spatial,0.75,0.6722222222222223,0.65,0.75,0.75,0.6722222222222223,0.65,8
density_mixing,lasso,control,0.5,0.16666666666666666,0.10666666666666667,0.5,0.5,0.16666666666666666,0.10666666666666667,2
density_mixing,shap,control,0.4666666666666667,0.16666666666666666,0.1,0.4922222222222222,0.4666666666666667,0.16666666666666666,0.1,2
composition_point_pattern,lasso,spatial,0.5,0.3972222222222222,0.36833333333333335,0.5668512694664011,0.5,0.3972222222222222,0.36833333333333335,8
composition_point_pattern,shap,spatial,0.45,0.4138888888888889,0.39499999999999996,0.53880115935263,0.45,0.4138888888888889,0.39499999999999996,8
composition_point_pattern,lasso,control,0.5,0.6333333333333333,0.6000000000000001,0.6861111111111111,0.5,0.6333333333333333,0.7,2
composition_point_pattern,shap,control,0.5,0.6555555555555556,0.6000000000000001,0.6916666666666667,0.5,0.6555555555555556,0.7,2
density_point_pattern,lasso,spatial,0.3666666666666667,0.3972222222222222,0.36333333333333334,0.5543847125097126,0.3666666666666667,0.3972222222222222,0.36333333333333334,8
density_point_pattern,shap,spatial,0.4166666666666667,0.39166666666666666,0.38166666666666665,0.564749112364244,0.4166666666666667,0.39166666666666666,0.38166666666666665,8
density_point_pattern,lasso,control,1.0,0.8,0.6400000000000001,1.0,1.0,0.8,0.7183333333333334,2
density_point_pattern,shap,control,0.9666666666666667,0.5777777777777777,0.45999999999999996,0.9833333333333334,0.9666666666666667,0.5777777777777777,0.5266666666666666,2
mixing_point_pattern,lasso,spatial,0.75,0.7222222222222222,0.7033333333333334,0.75,0.75,0.7222222222222222,0.7033333333333334,8
mixing_point_pattern,shap,spatial,0.75,0.7138888888888889,0.6950000000000001,0.7505555555555555,0.75,0.7138888888888889,0.6950000000000001,8
mixing_point_pattern,lasso,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
mixing_point_pattern,shap,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
composition,lasso,all,0.1,0.13333333333333333,0.12133333333333333,0.13444444444444442,0.1,0.13333333333333333,0.14133333333333334,10
composition,shap,all,0.1,0.13333333333333333,0.12400000000000003,0.13777777777777778,0.1,0.13333333333333333,0.144,10
density,lasso,all,0.3,0.2511111111111111,0.20133333333333336,0.3680948310948311,0.3,0.33444444444444443,0.333,10
density,shap,all,0.32,0.20666666666666664,0.17333333333333334,0.3692254901960784,0.32,0.2866666666666667,0.30933333333333335,10
mixing,lasso,all,0.6,0.54,0.532,0.6,0.6,0.54,0.532,10
mixing,shap,all,0.6,0.5355555555555556,0.5253333333333333,0.6,0.6,0.5355555555555556,0.5253333333333333,10
point_pattern,lasso,all,0.3933333333333333,0.3711111111111111,0.35466666666666663,0.47134598734598737,0.3933333333333333,0.3711111111111111,0.35466666666666663,10
point_pattern,shap,all,0.39333333333333337,0.35777777777777775,0.3453333333333334,0.4723032245532245,0.39333333333333337,0.35777777777777775,0.3453333333333334,10
composition_density,lasso,all,0.2,0.1711111111111111,0.18666666666666668,0.2839050024050024,0.2,0.23777777777777778,0.286,10
composition_density,shap,all,0.16666666666666666,0.19333333333333333,0.188,0.27014417579897454,0.16666666666666666,0.2688888888888889,0.30300000000000005,10
composition_mixing,lasso,all,0.6,0.5422222222222223,0.544,0.6270554438681374,0.6,0.5422222222222223,0.544,10
composition_mixing,shap,all,0.6133333333333334,0.5444444444444445,0.5426666666666666,0.6468706108706108,0.6133333333333334,0.5444444444444445,0.5456666666666667,10
density_mixing,lasso,all,0.7,0.5777777777777777,0.548,0.7,0.7,0.5777777777777777,0.548,10
density_mixing,shap,all,0.6933333333333334,0.5711111111111111,0.54,0.6984444444444444,0.6933333333333334,0.5711111111111111,0.54,10
composition_point_pattern,lasso,all,0.5,0.4444444444444445,0.41466666666666663,0.5907032377953431,0.5,0.4444444444444445,0.43466666666666665,10
composition_point_pattern,shap,all,0.45999999999999996,0.4622222222222222,0.43599999999999994,0.5693742608154373,0.45999999999999996,0.4622222222222222,0.45599999999999996,10
density_point_pattern,lasso,all,0.49333333333333335,0.47777777777777775,0.41866666666666674,0.64350777000777,0.49333333333333335,0.47777777777777775,0.43433333333333335,10
density_point_pattern,shap,all,0.5266666666666666,0.4288888888888889,0.3973333333333333,0.6484659565580618,0.5266666666666666,0.4288888888888889,0.4106666666666666,10
mixing_point_pattern,lasso,all,0.6,0.5777777777777777,0.5626666666666666,0.6,0.6,0.5777777777777777,0.5626666666666666,10
mixing_point_pattern,shap,all,0.6,0.5711111111111111,0.556,0.6004444444444444,0.6,0.5711111111111111,0.556,10
